gu	આ ઉપરાંત વિકિપીડિયામાં અત્યારે અનેક લેખો તૈયાર થઇ રહ્યા છે જેમને પ્રસ્તુત લેખ (માસનો ઉમદા લેખ) તરીકે રજૂ કરી શકાય તેમ છે. આ લેખોને ઉચ્ચ કક્ષાએ લઇ જવા માટે આપને હાર્દિક આમંત્રણ છે. મોટેભાગે આ લેખોને સમૃદ્ધ કરવાની અને તેમની સફાઈ કરવાની (જેમકે ત્રુટક કડીઓ દૂર કરવાની, સંદર્ભ ઉમેરવાની, મઠારવાની, વગેરે) કે અધુરા અનુવાદ પૂર્ણ કરવાની જરૂર છે. તો શું આપ ભાવનગર, સિક્કિમ, અમદાવાદની ગુફા, અમરનાથ કે પછી ક્ષત્રિયથી શરૂઆત કરશો?
ga	Polaiteoir, náisiúnaí agus réabhlóidí Éireannach ab ea Constance Gore-Booth, níos deireanaí an Chuntaois Constance Markievicz (4 Feabhra 1868 Londain - 15 Iúil 1927 Baile Átha Cliath). "An Chuntaois Dhearg" a thugtaí uirthi mar gheall ar a cuid tuairimí sóisialacha. Áirítear ar laochra náisiúnta na hÉireann í. Is é "Markievicz" gnáthlitriú a sloinne a úsáidtear in Éirinn sa lá atá inniu ann, ach is é an litriú a úsáidtear sa Pholainnis ná "Markiewicz", nó is mar v an Bhéarla a fhuaimnítear w na Polainnise. 
gl	Carlos López García-Picos, nado en Betanzos o 19 de outubro de 1922 e finado en Oleiros o 23 de decembro do 2009, foi un compositor galego, principal impulsor, socio e membro de honra da Asociación Galega de Compositores. Tivo unha especial relevancia na diáspora galega, amosando durante os anos que permaneceu en Bos Aires (Arxentina) un constante compromiso coa colectividade galega que se reflictiu en moitos aspectos da súa obra, así como na súa participación como director de distintas agrupacións corais como o coro Os Rumorosos do Centro Betanzos de Bos Aires, o coro Alborada da Casa de Galicia de París, a Coral Rosalía de Castro da Asociación Galega e a agrupación coral do Centro Gallego de Buenos Aires.
lb	De Kurt Schumacher, gebuer den 13. Oktober 1895 zu Culm a Westpreisen, haut a Polen, a gestuerwen den 20. August 1952 zu Bonn, war en däitsche Politiker. Hie war vun 1946 bis 1952 Parteipresident vun der SPD an SPD-Fraktiounspresident am éischten Däitsche Bundestag vun 1949 bis 1952.
la	Regens 72 annos erat temporibus novis is vir imperium habens, qui longissimum regnabat. Ludovicus XIV habetur exemplum clarissimum dominationis Absolutismi. Confirmabat potestatem regis amplificatione magistratus, tollendo oppositionem intestinam et promovendo sui imperii oeconomiam. 
lo	ວິກິພີເດຍພາສາລາວມີບົດຄວາມ 1240 ບົດຄວາມແລ້ວເດີ້! ຂໍໃຫ້ສ້າງບົດຄວາມກັນຫຼາຍ ໆ ຕໍ່ໄປ. ຕອນນີ້ເຮົາພວມເອົາໃຈໃສ່ກັບການສ້າງບົດຄວາມ ມື້ ເດືອນ ປີ ແລະ ປະຕິທິນ ຕ່າງ ໆ ເດີ້. ວິກິພີເດຍພາສາລາວພວມໄດ້ edittools ແລ້ວ ໃຊ້ ໆ ກັນຫຼາຍ ໆ ເດີ້.
tr	Parapsikolojik deneyler prekognisyon ve telekinezinin varlığını test etmek için rastgele sayı üreteçleri kullanmayı, duyular-dışı algılamayı test etmek için Ganzfeld uyarımını , durugörü ile kullanışlı casusluk bilgisi elde edilip edilemeyeceğini incelemek için Birleşmiş Devletler hükûmeti ile anlaşmalı olarak yürütülen araştırma denemelerini içerir.
lv	ASV prezidentu ievēl netiešās vēlēšanās uz četriem gadiem, turklāt prezidentu var ievēlēt tikai uz diviem termiņiem. Saskaņā ar šo sistēmu katram štatam ir piešķirts noteikts balsu skaits, kas saskan ar šī štata pārstāvju vietu skaitu Kongresā. 
tl	Spėjama, kad hunai buvo vakarinė šiongnu genčių atšaka, kuri pradėjo migracijas iš Mongolijos plynaukštės, Han laikotarpio Kinijai vykdant agresyvius užkariavimus. Jie susiformavo Kazachų stepės teritorijoje, iš kur ir pradėjo savo migracijas į vakarus.
th	ยังไม่เคยมีใครเห็นแฟรนเซียมเป็นก้อนในปริมาณมากเลย คุณสมบัติทั่วไปของธาตุอื่น ๆ ในแถวเดียวกัน ทำให้นักวิทยาศาสตร์สันนิษฐานว่าแฟรนเซียมเป็นโลหะที่สะท้อนแสงได้สูง ถ้าเก็บแฟรนเซียมมาไว้รวมกันเป็นก้อนหรือของเหลวปริมาณมากพอ การได้สารตัวอย่างดังกล่าวมานั้นแทบจะเป็นไปไม่ได้ เนื่องจากความร้อนจากการสลายตัว (ครึ่งชีวิตของไอโซโทปที่ยาวนานที่สุดคือเพียง 22 นาที) จะทำให้ธาตุปริมาณมากพอที่จะมองเห็น กลายเป็นไอได้
te	చిలకమర్తి లక్ష్మీనరసింహం (1867 - 1946) ప్రముఖ కవి, రచయిత, నాటక కర్త, పాత్రికేయుడు, సంఘ సంస్కరణవాది, విద్యావేత్త. 19వ శతాబ్దం చివర, 20వ శతాబ్దం ఆరంభ కాలంలో తెలుగు సాహిత్యం అభివృద్ధికి, తెలుగు నాట ఆధునిక భావాల వికాసానికి పట్టుకొమ్మలైన మహామహులలో చిలకమర్తి ఒకడు. ఇరవైరెండేళ్ళ వయస్సప్పుడు ఆయన రచించిన గయోపాఖ్యానం అనే నాటకం ప్రతులు లక్షకి పైబడి అమ్ముడుపోవటమనేది తెలుగు సాహిత్య చరిత్రలో కనీ, వినీ, ఎరగని విషయం. ఈ నాటకంలో టంగుటూరి ప్రకాశం పంతులు అర్జునుడి వేషం వేసేవాడు. లక్ష్మీనరసింహం 1867 సెప్టెంబర్ 26 న పశ్చిమ గోదావరి జిల్లా, పెరవలి మండలములోని ఖండవల్లి గ్రామములో ఒక బ్రాహ్మణ కుటుంబములో వెంకయ్య, రత్నమ్మ దంపతులకు జన్మించాడు. ఆయన ప్రాథమిక విద్య వీరవాసరం, నరసాపురం పట్టణాలలో సాగింది. 1889 లో రాజమండ్రి హైస్కూలులో పట్టం చేత పట్టుకొన్నాడు. 1889 లో రాజమండ్రి ఆర్య పాఠశాలలో తెలుగు ఉపాధ్యాయునిగా చేరాడు. తరువాత ఇన్నీసు పేట స్కూలులోనూ, మునిసిపల్ హైస్కూలులోనూ విద్యాబోధన సాగించాడు. తరువాత ఒక సంవత్సరం సరస్వతి పత్రిక సంపాదకునిగా పనిచేశాడు. ఆపై ఉద్యోగం విరమించి 1899లో హిందూ లోయర్ సెకండరీ స్కూల్ స్థాపించి 9 సంవత్సరాలు నడిపాడు. తరువాత ఈ పాఠశాల వీరేశలింగం హైస్కూల్ గా మార్చబడింది.
ta	ஆத்திரேலியப் பிரதமர் பதவியில் இருந்து டோனி அபோட் அகற்றப்பட்டு, அவருக்குப் பதிலாக மால்கம் டேர்ன்புல் (படம்) ஆளும் லிபரல் கட்சியின் உறுப்பினர்களால் தேர்ந்தெடுக்கப்பட்டார். சிங்கப்பூர் பொதுத் தேர்தலில் மொத்தமுள்ள 89 தொகுதிகளில் பிரதமர் லீ சியன் லூங் தலைமையிலான ஆளும் மக்கள் செயல் கட்சி 83 தொகுதிகளைக் கைப்பற்றி வெற்றி பெற்றது.
de	Aufgrund des Skandals um manipulierte Abgaswerte in den USA ist Martin Winterkorn (Bild) als Vorstandsvorsitzender der Volkswagen AG zurückgetreten. Dem Klimaforscher Mojib Latif und dem Resilienzforscher Johan Rockström wurde der Deutsche Umweltpreis zuerkannt.
da	Feltmarskal Alan Francis Brooke, 1st Viscount Alanbrooke (1883-1963) var en højtstående general i den britiske hær. Han var chef for imperiegeneralstaben under 2. verdenskrig og blev udnævnt til feltmarskal i 1944. Som formand for stabschefernes komite var Brooke den øverste militære rådgiver for premierminister Winston Churchill og betragtes som en af de vigtigste arkitekter bag de allieredes sejr i 1945. 
dz	ཝེ་ཁེ་རིག་མཛོད་ནི་རང་དབང་གི་རིག་གནས་ཀུན་བཏུས་དཔེ་མཛོད་ཅིག་ཡིན་ལ་འདི་རུ་མི་སུས་ཀྱང་རྩོམ་སྒྲིག་དང་ལེགས་བཅོས་བྱེད་ཆོག གལ་ཏེ་ཁྱེད་ཀྱིས་བོད་ཡིག་གམ་རྫོང་ཁ་མཁྱེན་ན་ལམ་སེང་རྩོམ་ཡིག་སྤེལ་ཆོག་པ་མ་ཟད་ནང་དུ་ཉར་ཟིན་པའི་རྩོམ་ཡིག་ཐམས་ཅད་བོད་ཡིག་གམ་རྫོང་ཁ་གཉེར་མཁན་ཚང་མར་ཕན་པས་ཝེ་ཁེ་རྫོང་ཁ་འགྱུར་མའི་ནང་དུ་ཧུར་བརྩོན་གྱིས་རྩོམ་ཡིག་ཁ་སྣོན་མཛོད་དང་ལས་འདིས་ཡིག་གེ་འདི་མི་ཉམས་གོང་འཕེལ་དུ་གཏོང་བར་ཧ་ཅང་དགེ་མཚན་མཆིས་སོ། ། ཝེ་ཁེ་རིག་མཛོད་ནི་ཚིག་མཛོད་ཀྱི་ཁྱད་ཆོས་མངོན་པར་ཕྱུག་པའི་གཟབ་ནན་གྱི་དྲྭ་ཚུགས་ཤིག་ཡིན་ཕྱིར་གནས་འདིར་ཅི་དགར་དུ་མི་སྒེར་གྱི་རྩོམ་ཡིག་ཐ་ཐོར་དང་རང་སྣང་གང་ཤར་གྱི་སྙན་ངག་ལ་སོགས་པ་མི་སྤེལ་བར་མཁྱེན། རྩོམ་ཡིག་ཅི་ལྟར་སྤེལ་བར་རྨོངས་ན་བྱིས་པ་ཁང་དུ་རྩོམ་སྒྲིག་ཚོད་བགམ་གྱིས་དང་། འདིར་གང་འདོད་དུ་ཚོད་ལྟ་བྱེད་ཆོག་ལ་དང་གཞན་རྣམས་ལ་དེ་ལྟར་མི་བྱེད་པར་མཁྱེན།ཡིག་གཟུགས་ཆུང་བའི་གནད་དོན་སེལ་བར་ཐོག་མར་རྩིས་ཐོ་བཀོད་རྗེས་ནང་དུ་ཡིག་གཟུགས་ཆེ་རུ་གཏོང་བྱེད་ཀྱི་codeབཞག་ནས་ཡིག་གཟུགས་ཇེ་ཆེར་གཏོང་ཐུབ། དེ་ལས་འདས་པའི་དཀའ་ངལ་འཕྲད་ན་ རོགས་རམ་ས་བཅད་ལ་གཟིགས་ཤོག
qu	Qhichwa simi icha Runasimi nisqaqa Urin Awya Yalapi rimasqan rimaymi. Tawantinsuyup siminsi karqan. Kunanqa yaqa 14.000.000 runam kay simita rimanku, Piruwpi, Buliwyapi, Arhintinapi, Ikwadurpi, Chilipi, Kulumbyapi kaytaqa riman. Lliw Awya Yala rimaykunamanta astawan rimaqniyuqmi. Qhichwa sutita churarqa runasimiman Fray Domingo de Santo Tomás, ñawpaq qillqaq kay simimanta. 
el	της ίδιας άδειας - ακόμα και για εμπορικούς σκοπούς - με την επιφύλαξη της συμμόρφωσης με τους όρους της άδειας.
eo	Por komenci, mi verkis la apartigilon Austerlitz. Nun ĝi estas la plej ampleksa kaj plej klare aranĝita tiaspeca artikolo en la tuta Vikipedio. 
en	 The Japanese repulsed this attack. In the second action (6–9 October), a larger force of Marines crossed the river and inflicted heavy casualties on an infantry regiment. This forced the Japanese to retreat from their positions east of the Matanikau and hindered their preparations for a planned major offensive on the U.S. Lunga defenses set for later in October.
zh	激進左翼聯盟在希臘立法選舉獲得希臘議會多數席次後，該黨領袖阿列克西斯·齊普拉斯宣誓就任希臘總理。
eu	Erromatarren garaian sortua, Lapurdum izena izan zuen, geroago inguruko lurraldearen izena izatera (Lapurdi) igaroko zena. XI. mendetik aurrera, apezpiku hiri bihurtu zen, Bajonencis elizbarrutiko buru izendatu baitzuten. Baionak goiburua nunquam polluta (euskaraz, «inoiz ez zikindua») du, mendeetan zehar hiribildua setiatzeko izan ziren 14 saiakerak, gutxienez, porrot egin zutelako.
et	Kirjutamisel soovitame eeskujuks võtta siinse kogukonna poolt headeks valitud artikleid. Lisaabi saab siit ja harjutamiseks on olemas liivakast.
es	Los diecinueve ensayos o capítulos que componen la obra brindan la visión de Sagan sobre temas que considera fundamentales «en la antesala del milenio», a través de su estilo habitual para explicar en términos asequibles las cuestiones científicas más complejas.
